,MTCNN,haarcascade_lefteye_2splits,haarcascade_mcs_mouth,haarcascade_frontalface_alt2,haarcascade_eye,haarcascade_lowerbody,haarcascade_righteye_2splits,haarcascade_profileface,haarcascade_eye_tree_eyeglasses,haarcascade_frontalface_alt_tree,haarcascade_fullbody,haarcascade_upperbody,haarcascade_frontalcatface_extended,TOTAL
0,45,8,45,17,44,0,11,8,6,4,0,0,4,192.0
1,114,0,12,10,1,0,2,1,0,0,0,5,0,145.0
2,203,0,24,36,2,8,0,21,0,1,3,22,1,321.0
